scientificName,bee_genus,bee_family,diet_breadth_liberal,diet_breadth_conservative,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season,eigen1,eigen2,Tetraloniella,Florilegus,Simanthedon,Ericrocis,Epeoloides,Leiopodus,Nomada,Hexepeolus,Biastes,Townsendiella,Neolarra,Brachynomada,Syntrichalonia,Triopasites,Paranomada,Epeolus,Triepeolus,Cemolobus,Holcopasites,Oreopasites,Zacosmia,Melecta,Anthophora,Habropoda,Trachusa,Paranthidium,Lithurgopsis,Anthidiellum,Dianthidium,Stelis,Anthidium,Megachile,Coelioxys,Chelostoma,Protosmia,Heriades,Hoplitis,Atoposmia,Ashmeadiella,Osmia,Dioxys,Hesperapis,Macropis,Melitta,Caupolicana,Zikanapis,Ptiloglossa,Eulonchopria,Colletes,Hylaeus,Dieunomia,Nomia,Pseudaugochlora,Agapostemon,Sphecodes,Micralictoides,Halictus,Lasioglossum,Augochloropsis,Augochlora,Augochlorella,Conanthalictus,Xeralictus,Protodufourea,Dufourea,Sphecodosoma,Protoxaea,Calliopsis,Mesoxaea,Panurginus,Perdita,Macrotera,Ancylandrena,Pseudopanurgus,Protandrena,Megandrena,Andrena,Plebeia,Bombus,Centris,Ceratina,Xylocopa,Ancyloscelis,Exomalopsis,Anthophorula,Brachymelecta,Melitoma,Ptilothrix,Diadasia,Melissoptila,Martinapis,Svastra,Melissodes,Gaesischia,Peponapis,Xenoglossa,Eucera,diet_breadth
Agapostemon angelicus,Agapostemon,Halictidae,generalist,generalist,3643.8642469994,534.0915952669448,-0.11880136116471698,0.07595164952923855,-0.2183074805458306,0.06368319586995955,63,18.509250943057303,24,6.682729100460469,642,35.594,-109.26,3265,9910958015606.637,991095801.5606636,TRUE,184.67346938775503,185,116,252,136,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon coloradinus,Agapostemon,Halictidae,generalist,NA,621.1781880002998,489.2748178366158,-0.04649425264672269,-0.05081771825261189,-0.2420040106881015,-0.1113767588055114,3,3,3,3,3,41.72,-104.967,109,1783836249093.0225,178383624.90930226,TRUE,213.2233009708738,191,163,282.2,119.2,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon femoratus,Agapostemon,Halictidae,generalist,generalist,812.8413959999999,454.2715323444371,0.22218668394656133,0.1254527904559765,-0.399392034656524,0.07541834799928766,10,6.4,4,1.7066666666666668,16,40.252,-114.734,1061,5762833596861.124,576283359.6861124,TRUE,197.16067864271457,197,140,252.9,112.89999999999998,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon melliventris,Agapostemon,Halictidae,generalist,generalist,3894.708980997704,532.6416221767906,-0.0084629202949023,0.11863329148667404,-0.2436468230693024,0.0743593563901738,58,21.659224441833132,30,7.856777493606139,192,33.054,-110.938,1465,5244176882755.375,524417688.2755375,TRUE,197.68837209302328,200,98,288,190,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon nasutus,Agapostemon,Halictidae,generalist,NA,1330.5425450000007,522.4840225915219,-0.09155719873864782,0.1022902910520308,-0.08151120936767241,-0.1007925165233324,15,10.880597014925376,8,5.170212765957446,27,19.533,-97.516,385,4055425724548.056,405542572.4548056,TRUE,196.9112903225806,201,75.1,313.90000000000003,238.80000000000004,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon sericeus,Agapostemon,Halictidae,generalist,generalist,1392.5846009999996,476.859228563763,0.29187086446062543,0.02432824578260094,-0.37168823586799526,0.04561711251835506,25,8.470588235294116,8,2.5067698259187616,72,41.212,-81.455,1431,6877058866340.174,687705886.6340175,TRUE,200.66841644794405,204,133,270,137,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon splendens,Agapostemon,Halictidae,generalist,generalist,7501.432415600299,510.0811446482049,0.2134776300194904,0.03393030145730846,-0.366639365613149,0.08577360298047733,153,28.582417582417605,58,3.664877840884385,918,31.072,-81.389,2610,9727276162905.334,972727616.2905334,TRUE,209.89933993399345,211,113,313,200,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon texanus,Agapostemon,Halictidae,generalist,generalist,9273.286968999088,490.9990550075296,0.1518800039266846,0.0319821326359419,-0.3861151070938255,0.05522697724033065,210,38.706876184720215,58,2.4532949573145126,1187,38.227,-110.233,3631,12355187911164.363,1235518791.1164365,TRUE,197.58297872340427,198,115,276,161,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Agapostemon virescens,Agapostemon,Halictidae,generalist,generalist,7133.492437999996,512.7183646538391,0.30781455476099107,-0.03622295062501936,-0.3509639515518221,0.05160363472099731,152,39.74902631674728,48,3.59189211413535,1045,41.378,-77.264,5697,11192869280515.646,1119286928.0515647,TRUE,203.93278784336644,197,154,266,112,0.22255499223866945,-0.10359077853279548,0.4552059634107578,0.4661495612515813,0.14759553231493489,0.5055358408830348,0.4615057254807464,0.5428712350481739,0.47037063134485135,0.4304560342816379,0.44279475087570497,0.4264189566524956,0.438046352905924,0.5218036444135025,0.14759553231493494,0.5136642365738474,0.5351240913193508,0.4838495882415019,0.4795218201018633,0.14759553231493489,0.4829911784390955,0.48373765409796365,0.4793308986431553,0.4719567330213037,0.4370663026338649,0.4209084324649033,0.45390152761005986,0.4563665423848719,0.0866157174138953,0.46762427447644805,0.46895548482322297,0.464237061211736,0.4818206203857408,0.4606241183765868,0.4819410850212592,0.4259534588370858,0.4741046832604454,0.4714337556398153,0.4734206176173581,0.46442092984068606,0.4789649627225243,0.49662011913349086,0.4673879647306904,0.43957489922767634,0.3867978305237337,0.4094518355846398,0.3840439702319377,0.39826576860068186,0.4113031912827763,0.36453228212724575,0.410627471650614,0.4039166087294365,0.27676022677529577,0.2867993512160709,-0.39042194440255373,0,0.1405176818233767,-0.27628946018633993,0.16434825875516948,0.1708251158285034,0.16516337389642538,0.19455146369734116,0.1676754438255141,0.28797926008356645,0.2536887641950828,0.24361982034655305,0.34258969928655336,0.26334141391347676,0.384915002074005,0.40476936731424407,0.02471946898355881,0.4214344568220569,0.4818600487648776,0.4849688298411324,0.02471946898355881,0.44278482599311336,0.44850890414464706,0.3970706348931973,0.41433861665820926,0.5017049836099003,0.4549245251519965,0.4180421412648449,0.5232726845116428,0.4460460581725011,0.45680585184382705,0.4701158777488553,0.42820151102234344,0.2483909047720278,0.4581936489063697,0.46789176425505824,0.4535551998885671,0.47098506903899023,0.4623865542190653,0.4622881223738565,0.47167096114502727,0.45280124355210755,0.4555726464703711,0.45674055197182994,0.45280124355210755,NA
Ancylandrena atoposoma,Ancylandrena,Andrenidae,specialist,specialist,390.70253999999994,390.70253999999983,-0.04469801165288717,0.10442894746360028,0.2120833599774709,-0.25278047879878185,1,1,1,1,3,34.1,-117.372,77,195898452920.39377,19589845.292039376,TRUE,128.72058823529412,132.5,107.7,148.3,40.60000000000001,0.01183391710411589,0.0068775338651968,0.0244113958356098,0.03535499367643324,-0.28319903526021306,0.07474127330788682,0.03071115790559836,0.11207666747302591,0.03957606376970329,-3.385332935100238e-4,0.01200018330055702,-0.00437561092265237,0.00725178533077602,0.09100907683835437,-0.283199035260213,0.08286966899869941,0.10432952374420268,0.05305502066635387,0.04872725252671522,-0.28319903526021306,0.0521966108639475,0.0529430865228156,0.04853633106800725,0.04116216544615564,0.00627173505871697,-0.00988613511024466,0.0231069600349118,0.02557197480972395,-0.3441788501612526,0.0368297069013,0.03816091724807491,0.03344249363658797,0.05102605281059275,0.02982955080143878,0.05114651744611115,-0.0048411087380622,0.04331011568529736,0.04063918806466726,0.04262605004221004,0.03362636226553806,0.04817039514737625,0.0658255515583428,0.03659339715554233,0.00878033165252834,-0.04399673705141427,-0.02134273199050812,-0.02174853757703804,-0.00752673920829383,0.00551068347380062,-0.04126022568172993,0.00483496384163828,-0.00187589907953916,-0.00635938589704132,0.00367973854373382,-0.4060750985915891,0.02471946898355881,0.01073204341812755,-0.4060750985915891,0.03456262034992025,0.0410394774232542,-0.00377471987197586,0.02561336992893986,-0.0012626499428871,-0.03727630748840443,-0.07156680337688814,-0.08163574722541789,0.01733413171458242,-0.06191415365849412,-0.1405668983671806,-0.1822577808532187,-0.5905482725841719,-0.1938332847456738,-0.13340769280285308,-0.1302989117265983,0,-0.3651922822285156,-0.3594682040769819,-0.09609061591206382,-0.07882263414705185,0.07091041603475245,0.02412995757684853,-0.01275242631030303,0.09247811693649488,0.01525149059735318,0.0260112842686791,0.03932131017370732,-0.00259305655280454,-0.18240366280312015,0.02739908133122173,0.03709719667991027,0.02276063231341905,0.04019050146384227,0.03159198664391736,0.0314935547987086,0.04087639356987936,0.0220066759769596,0.02477807889522315,0.025945984396682,0.0220066759769596,specialist
